id	group	text	reverse
1		私はしばしば、周囲の自然界との一体感を感じることがあります。	0
2		私は自然界を、自分が属しているコミュニティとして考えています。	0
3		私は他の生き物たちの知性を認識し、尊重しています。	0
4		私はしばしば、自然から切り離されているように感じます。	1
5		自分の人生について考えるとき、私はより大きな「生の循環プロセス」の一部だと感じます。	0
6		私はしばしば、動物や植物と親しみを感じます。	0
7		私は地球が私に属するのと同じように、私も地球に属していると感じます。	0
8		自分の行動が自然界にどのような影響を与えるかについて、深い理解があります。	0
9		私はしばしば、生命のネットワークの一部であると感じます。	0
10		私は、人間もそうでない存在も、すべての地球上の生命が共通の「生命力」を共有していると感じます。	0
11		木が森の一部であるように、私は広い自然界の中に埋め込まれていると感じます。	0
12		地球上の自分の位置を考えると、私は自然の中で最上位にいる存在だと思います。	1
13		私はしばしば、自分が周囲の自然界の中でほんの小さな存在であり、地面の草や木の上の鳥と同じように重要なのだと感じます。	0
14		私自身の幸福は、自然界の幸福とは関係がないと思います。	1
