id	group	text	reverse
1		友達同士で集まって盛り上がるのは、人生の中で大切な楽しみのひとつだと思う。	0
2		懐かしい光景、音、匂いによって、幼い頃のよい思い出がよみがえることがよくある。	0
3		私の人生は運命によって定められるところが多い。	0
4		人生の中で、ああすべきだったのに、と思うことが多い。	0
5		私の決断は、周りの人や出来事によって大いに影響される。	0
6		人は毎朝、その日の予定を計画するべきだと思う。	0
7		昔のことを考えるのは楽しい。	0
8		衝動的に行動することがある。	0
9		時間通りに物事が進まなくても、心配はしない。	1
10		何かをやり遂げようとするとき、目標を決めてそれに到達するための具体的な方法を検討する。	0
11		昔のことを思い出すと、悪い思い出よりも良い思い出の方が全体的に多い。	1
12		大好きな音楽を聴いていると、時間を忘れることがよくある。	0
13		夜遊びに行くことよりも、明日までにやるべきことや必要なことを終える方が大切だ。	0
14		なるようにしかならないので、自分が何をしてもあまり関係ない。	0
15		“古きよき時代”の話が好きである。	0
16		過去のつらい経験が、繰り返し頭に浮かぶ。	0
17		一日一日を精一杯生きようとしている。	0
18		約束の時間に遅れるのは嫌いだ。	0
19		毎日を人生最後の日だと思って過ごすのが理想である。	0
20		楽しかった思い出が、すぐに心に浮かぶ。	0
21		友人や上司・教師などに対する義務は遅れずに果たす。	0
22		過去に虐待や拒絶をそれなりに経験した。	0
23		その場のはずみで物事を決めてしまうことがある。	0
24		毎日を計画的というよりは成り行きで過ごす。	1
25		嫌な思い出が多いので、過去のことは思い出したくない。	1
26		人生に刺激は重要だ。	0
27		取り消してしまいたい間違いを過去に犯したことがある。	1
28		時間内に終えることよりも、やっていることを楽しむことの方が大切だと思う。	0
29		幼い頃が懐かしいと思う。	0
30		決断する前に、メリットとデメリットを比べてみる。	0
31		危険をおそれないからこそ、人生は退屈でなくなる。	0
32		人生のゴールだけを考えるよりも、その道のりを楽しむことが大切だ。	0
33		物事が期待通りにうまくいくことはめったにない。	0
34		若い頃の嫌なイメージを忘れることは難しい。	0
35		目標、結果、成果について考えなければならないならば、自分の行動の過程や流れの中の楽しみが奪われてしまう。	0
36		今を楽しんでいるときでも、つい過去のよく似た経験と比べてしまう。	0
37		物事は変わるので、将来の計画を立てるのは実際には不可能だ。	0
38		人生の進路は、自分ではどうしようもない力によって決められている。	0
39		どうしようもないことなので、将来について心配しても仕方がない。	0
40		コツコツと取り組んで時間通りに課題を終了する。	0
41		家族が昔はああだった、こうだった、と話し出しても耳を貸さない。	1
42		人生の刺激を得るために冒険をする。	0
43		やるべきことをリストにする。	0
44		自分の頭ではなく気持ちに従うことが多い。	0
45		やるべきことがあるとき、誘惑に耐えることができる。	0
46		興奮して我を忘れることがある	0
47		現代の生活は複雑すぎる。昔のシンプルな生活の方がいいと思う。	0
48		わかりやすい人よりも思いつきで行動する人の方が友人として好ましい。	0
49		何度も繰り返される家族の行事や伝統が好きだ。	0
50		過去に起きた嫌な出来事について考えることがある。	0
51		前進するためならば、難しくておもしろくない課題に取り組むことができる。	0
52		稼いだお金は、明日のために貯金するよりも今日の楽しみに使う。	1
53		成功は努力よりも運で決まることが多い。	0
54		人生の中でやりそこなった楽しいことについて考えることがある。	0
55		親密な関係は情熱的な方がいい。	0
56		仕事や課題の遅れを取り戻す時間は、後でいくらでもある。	1
