id	group	text	reverse
1		友だちとパーティーにでかけるのは、人生の重要な楽しみのひとつだ。	0
2		子どもの頃に慣れ親しんだ光景、音、匂いにいざなわれ、すばらしい思い出にひたることがある。	0
3		人生は往々にして運命に左右される。	0
4		これまでの人生で違うことをすべきだったと、よく思う。	0
5		決断を下そうとすると、周囲の人やものごとからたいてい影響を受ける。	0
6		毎朝、あらかじめ計画を立ててから、1日を始めるべきだ。	0
7		自分の過去について考えるのは楽しい。	0
8		つい衝動に駆られて行動してしまう。	0
9		ものごとが時間どおりにおこなわれなくても、別にかまわない。	1
10		なにかを達成しようと思ったら、目標を立て、その目標を達成するにはどうすればいいか、方法を考える。	0
11		過去を振り返ると、悪いことより、いいことのほうが多かった。	0
12		好きな音楽を聴いていると、時のたつのを忘れてしまう。	0
13		今夜の遊びより、締め切りや任務を優先する。	0
14		どうせ、なるようにしかならないのだから、なにをしたところで、たいして変わらない。	0
15		「古きよき時代」の話が好き。	0
16		つらい過去の体験が、よく頭をよぎる。	0
17		せいいっぱい人生を生きたい。1日1日を充実させたい。	0
18		約束の時間に遅れそうになると、あわてる。	0
19		毎日を人生最後の日であるかのように生きたい。	0
20		友人との約束を守り、期日や期限もきちんと守る。	0
21		よき時代の幸福な記憶が、すぐによみがえる。	0
22		もう、一生ぶんの虐待や拒絶を味わった。	0
23		思いつきで決断を下すことがある。	0
24		あらかじめ計画を立てて毎日をすごすのではなく、行き当たりばったりにすごす。	1
25		つらい記憶が多いので、過去についてはあまり考えたくない。	1
26		人生には、興奮や刺激が欠かせない。	0
27		過去のあやまちを後悔している。	1
28		時間どおりに仕事を終えるより、いましていることを楽しみたい。	0
29		子どもの頃を思い出すと、郷愁に駆られる。	0
30		利益と費用をよく考慮してから、決断を下す。	0
31		危険を冒すからこそ、人生は退屈せずにすむ。	0
32		目的地に到達することよりも、人生という旅を楽しみたい。	0
33		ものごとは、たいてい思うようにならない。	0
34		若い頃に見た不快な光景が脳裏に焼きついている。	0
35		目標や結果について考えると、なにをしていてもつまらなくなる。	0
36		現在を楽しんでいても、似たような過去の体験とつい比較してしまう。	0
37		ものごとは大きく変化するのだから、将来の計画など立てられない。	0
38		人生は、自分ではどうすることもできない力に支配されている。	0
39		未来のことを心配してもしかたがない。未来についてできることなどないのだから。	0
40		着実に前進し、計画を時間どおりに実行する。	0
41		家族が昔話を始めると、いつも聞き流す。	1
42		人生に刺激をもたらすためなら、多少のリスクはいとわない。	0
43		しなければならないことのリストをつくる。	0
44		理性よりも本能に従って行動することが多い。	0
45		自分には責任があると自覚し、誘惑に抵抗できる。	0
46		一瞬の興奮に押し流されてしまうときがある。	0
47		現在の生活は、あまりにも複雑だ。過去のもっとシンプルな生活のほうがいい。	0
48		行動の予測がつく友人より、のびのびとした友人のほうが好き。	0
49		家族の儀式や伝統など、定期的に繰り返されるものが好き。	0
50		過去に起こった悪いことについて考える。	0
51		自分が成長できるのなら、困難で面白味のない仕事も続けられる。	0
52		時間は、今日の快楽のために使ってしまうより、明日の安全のためにとっておきたい。	0
53		勤勉より幸運のほうがものを言う。	0
54		これまでの人生で、体験する機会を逸してしまったよいことについて考える。	0
55		情熱的に愛せる濃密な人間関係が好き。	0
56		仕事の遅れなど、いつだって取り戻せる。	1
57		死ぬのは、肉体だけだ。	0
58		肉体は、本物の私にとって、仮の住まいにすぎない。	0
59		死は新たな始まりにすぎない。	0
60		奇跡を信じている。	0
61		人類がどうしてこうなったのかという経緯は、進化論で十分に説明がつく。	1
62		人には魂がある。	0
63		科学の法則がすべてを説明できるわけではない。	0
64		臨終を迎えたら、この世での自分の行動の意味がわかると思う。	0
65		人には生きるべき神のおきてがある。	0
66		霊魂を信じている。	0
