id	group	text	reverse
1	ED	私は十分な愛と注目を浴びていない。	0
2	ED	ほとんどの場合、アドバイスや精神的なサポートをしてくれる頼れる人がいなかった。	0
3	ED	私の人生の大半は、私に近づき、多くの時間を一緒に過ごしたいと思う人がいなかった。	0
4	ED	私の人生の大半は、自分が誰かにとって特別な存在だとは感じてこなかった。	0
5	ED	どうしたらいいかわからないときに、的確なアドバイスや方向性を示してくれるような力強い人は、これまでほとんどいなかった。	0
6	AB	親しみを感じている人たちが私のもとを去ったり、私を見捨てたりするのではないかと心配になる。	0
7	AB	重要な人間関係が長続きするとは感じない。終わることを期待している。	0
8	AB	私は、献身的に私のそばにいることができないパートナーに依存していると感じる。	0
9	AB	私は、たとえ短時間であっても、誰かに一人にされると動揺してしまう。	0
10	AB	他の人たちと親しくなることはできない、なぜなら彼らがいつもそこにいると確信できないからだ。	0
11	AB	私の親しい人たちは、ある瞬間は私に優しく接してくれるが、次の瞬間には怒ったり、動揺したり、自己中心的になったり、ケンカをしたりと、とても予測がつかない。	0
12	AB	私は他人を必要とするあまり、他人を失うことを心配する。	0
13	AB	ありのままの自分でいることも、本当の気持ちを表現することもできない。さもないと、人々が私から離れてしまう。	0
14	MA	他人の前では油断できないし、そうしないとわざと傷つけられるような気がする。	0
15	MA	誰かが私を裏切るのは時間の問題だ。	0
16	MA	私は人を信じることがとても苦手だ。	0
17	MA	私は他人に“テスト”を課し、彼らが私に真実を語っているか、善意であるかを確認する。	0
18	MA	私はこう信じている： 「コントロールするか、されるかだ。」	0
19	SI	私は他の人とは根本的に違う。	0
20	SI	私は所属していない。私は一匹狼だ。	0
21	SI	私はいつもグループの外側にいると感じている。	0
22	SI	誰も私のことを本当には理解してくれない。	0
23	SI	私は時々、自分が宇宙人であるかのように感じることがある。	0
24	DS	本当の私を知ったら、私が望む人は誰も私のそばにいたいと思わないだろう。	0
25	DS	私は本質的に欠点があり、欠陥がある。	0
26	DS	私は愛すべき人間ではないと感じる。	0
27	DS	他人に自分をさらけ出すのは、とても基本的なところであまりにも受け入れられない。	0
28	DS	人に好かれると、自分が人を騙していると感じる。	0
29	DS	私を愛してくれる人がいるなんて理解できない。	0
30	FA	私が仕事（あるいは学校）でやっていることはほとんど、他の人がやっていることに比べれば、優れたものではない。	0
31	FA	仕事（あるいは学校）や業績の分野では、他のほとんどの人は私より能力がある。	0
32	FA	私は失敗作だ。	0
33	FA	私は仕事（あるいは学校）において、ほとんどの人ほど才能がない。	0
34	FA	私の業績は他の人たちに及ばないので、彼らと一緒にいて恥ずかしいと思うことがよくある。	0
35	FA	私はよく他の人と自分の業績を比べて、彼らの方がずっと成功していると感じる。	0
36	DI	日常生活で自分ひとりでやっていけるとは思えない。	0
37	DI	自分が自分の面倒を見るよりも、他人の方が自分の面倒を見ることができると信じている。	0
38	DI	指導してくれる人がいないと、仕事以外の新しいタスクに取り組むのは難しい。	0
39	DI	仕事（あるいは学校）以外でも、何をやっても失敗する。	0
40	DI	日常的な場面で自分の判断を信じると、間違った判断をしてしまう。	0
