id	group	text	reverse
1	嘘が多い	人の前だろうが、なんの抵抗もなく自由に感じたままを言うことができる。	0
2	嘘が多い	他人の話に疑問を感じたら、その気持ちをはっきり伝えられる。	0
3	嘘が多い	自分にとって嫌なことを理解しているため、不快なことを引き受けて後悔することはない。	0
4	嘘が多い	誰かに欠点を指摘されたり、親しい人と意見が異なったりしても、なかったことにはしない。	0
5	嘘が多い	自分の深いところにある考えや感情を、よく理解できている。	0
6	嘘が多い	本当は楽しくないのに、楽しいふりをしたりはしない。	0
7	感情が幼い	色々と心配なことが頭に浮かんでも、会話から注意がそれることはない。	0
8	感情が幼い	嘲笑や軽口を受けても、不快さを調整できる。	0
9	感情が幼い	たくさんの人がいる部屋に入っても、他人の視線を感じて自意識過剰にはならない。	0
10	感情が幼い	その場に合わないことを言うことはほとんどない。	0
11	感情が幼い	まわりから下に見られていると思うことはない。	0
12	感情が幼い	会話の最中に頭が真っ白になることはほぼない。	0
13	性格が悪い	不快な相手でも、皮肉を言ったり、馬鹿にすることはない。	0
14	性格が悪い	自分の欲求を満たすために、他の人を操ろうとまではしない。	0
15	性格が悪い	自分もあやまちがあれば簡単に認める。	0
16	性格が悪い	他の人から「緊張せずに話せる」と言われる。	0
17	性格が悪い	どちらかというと温厚で、人の気持ちを気にするほうだ。	0
18	性格が悪い	他の人からの注目や特別な好意は期待しない。	0
